DriverID,#Driver,Team,Year,GranPrix,#Location,LapNumber,position,PitInTime,PitOutTime,Stint,TireLife,#TireMeters,Compound,IsFreshTire,#DriverMeters,LapTime,Best,air_temp_avg,humidity_avg,trackTemp_AVG,pressure_avg,wind_speed_avg,wind_direction_avg,NormalizedTireMeters,NormalizedDriverMeters
31,OCO,Alpine,2024,Bahrain Grand Prix,Sakhir,1.0,16.0,1,1,1.0,1.0,5412,1,1,5412,106.657,0,9.15,24.5,11.9,508.5,0.45,14.0,0.017337485103602047,0.01745524915336236
31,OCO,Alpine,2024,Bahrain Grand Prix,Sakhir,2.0,16.0,1,1,1.0,2.0,10824,1,1,10824,99.094,1,9.15,24.5,11.9,508.55,0.75,44.5,0.034674970207204094,0.03491049830672472
31,OCO,Alpine,2024,Bahrain Grand Prix,Sakhir,3.0,16.0,1,1,1.0,3.0,16236,1,1,16236,98.771,1,18.3,49.0,23.8,1017.0,1.0,32.0,0.05201245531080614,0.052365747460087084
31,OCO,Alpine,2024,Bahrain Grand Prix,Sakhir,4.0,16.0,1,1,1.0,4.0,21648,1,1,21648,98.625,1,9.15,24.5,11.8,508.5,0.35,18.5,0.06934994041440819,0.06982099661344944
31,OCO,Alpine,2024,Bahrain Grand Prix,Sakhir,5.0,16.0,1,1,1.0,5.0,27060,1,1,27060,98.64,0,9.15,25.0,11.75,508.55,0.55,118.0,0.08668742551801023,0.08727624576681181
31,OCO,Alpine,2024,Bahrain Grand Prix,Sakhir,6.0,16.0,1,1,1.0,6.0,32472,1,1,32472,98.874,0,18.3,49.0,23.5,1017.1,0.6,0.0,0.10402491062161227,0.10473149492017417
31,OCO,Alpine,2024,Bahrain Grand Prix,Sakhir,7.0,16.0,1,1,1.0,7.0,37884,1,1,37884,99.152,0,9.15,25.0,11.85,508.6,0.25,5.0,0.12136239572521432,0.12218674407353652
31,OCO,Alpine,2024,Bahrain Grand Prix,Sakhir,8.0,16.0,1,1,1.0,8.0,43296,1,1,43296,99.422,0,9.1,25.0,11.75,508.6,0.2,49.0,0.13869988082881637,0.13964199322689888
31,OCO,Alpine,2024,Bahrain Grand Prix,Sakhir,9.0,15.0,1,1,1.0,9.0,48708,1,1,48708,99.312,0,18.2,50.0,23.5,1017.1,0.6,221.0,0.1560373659324184,0.15709724238026124
31,OCO,Alpine,2024,Bahrain Grand Prix,Sakhir,10.0,16.0,1,1,1.0,10.0,54120,1,1,54120,101.642,0,9.1,25.0,11.75,508.6,0.25,165.0,0.17337485103602046,0.17455249153362362
31,OCO,Alpine,2024,Bahrain Grand Prix,Sakhir,11.0,18.0,1,1,2.0,1.0,5412,3,1,59532,119.014,0,9.1,25.0,11.75,508.6,0.25,78.5,0.017337485103602047,0.19200774068698598
31,OCO,Alpine,2024,Bahrain Grand Prix,Sakhir,12.0,18.0,1,1,2.0,2.0,10824,3,1,64944,97.599,1,9.15,25.0,11.75,508.6,0.2,21.0,0.034674970207204094,0.20946298984034833
