DriverID,#Driver,Team,Year,GranPrix,#Location,LapNumber,position,PitInTime,PitOutTime,Stint,TireLife,#TireMeters,Compound,IsFreshTire,#DriverMeters,LapTime,Best,air_temp_avg,humidity_avg,trackTemp_AVG,pressure_avg,wind_speed_avg,wind_direction_avg,NormalizedTireMeters,NormalizedDriverMeters
31,OCO,Alpine,2023,Japanese Grand Prix,Suzuka,1.0,19.0,1,1,1.0,1.0,5807,2,1,5807,161.813,0,9.0,13.666666666666666,14.633333333333333,337.6666666666667,0.5666666666666667,43.0,0.01860287804815541,0.018729237219803258
31,OCO,Alpine,2023,Japanese Grand Prix,Suzuka,2.0,16.0,1,1,2.0,1.0,5807,3,1,11614,144.519,0,13.55,20.5,21.8,506.5,1.5,67.5,0.01860287804815541,0.037458474439606516
31,OCO,Alpine,2023,Japanese Grand Prix,Suzuka,3.0,15.0,1,1,2.0,2.0,11614,3,1,17421,,0,9.066666666666666,14.0,14.566666666666668,337.6666666666667,0.8333333333333334,45.333333333333336,0.03720575609631082,0.05618771165940977
31,OCO,Alpine,2023,Japanese Grand Prix,Suzuka,4.0,15.0,1,1,2.0,3.0,17421,3,1,23228,,0,9.033333333333333,14.333333333333334,14.333333333333334,337.6666666666667,0.7333333333333334,38.0,0.055808634144466227,0.07491694887921303
31,OCO,Alpine,2023,Japanese Grand Prix,Suzuka,5.0,15.0,1,1,2.0,4.0,23228,3,1,29035,100.016,1,27.2,43.0,42.6,1013.0,2.0,133.0,0.07441151219262164,0.09364618609901629
31,OCO,Alpine,2023,Japanese Grand Prix,Suzuka,6.0,15.0,1,1,2.0,5.0,29035,3,1,34842,100.478,0,13.55,21.5,21.2,506.5,1.2,61.5,0.09301439024077705,0.11237542331881954
31,OCO,Alpine,2023,Japanese Grand Prix,Suzuka,7.0,15.0,1,1,2.0,6.0,34842,3,1,40649,100.535,0,13.55,21.0,21.5,506.5,0.6,53.0,0.11161726828893245,0.1311046605386228
31,OCO,Alpine,2023,Japanese Grand Prix,Suzuka,8.0,15.0,1,1,2.0,7.0,40649,3,1,46456,100.401,0,27.2,41.0,43.1,1013.0,1.2,85.0,0.13022014633708787,0.14983389775842607
31,OCO,Alpine,2023,Japanese Grand Prix,Suzuka,9.0,14.0,1,1,2.0,8.0,46456,3,1,52263,100.497,0,13.55,20.5,21.45,506.5,0.5,69.5,0.14882302438524328,0.1685631349782293
31,OCO,Alpine,2023,Japanese Grand Prix,Suzuka,10.0,13.0,1,1,2.0,9.0,52263,3,1,58070,100.689,0,13.6,20.0,21.75,506.45,0.85,47.5,0.1674259024333987,0.18729237219803258
31,OCO,Alpine,2023,Japanese Grand Prix,Suzuka,11.0,11.0,1,1,2.0,10.0,58070,3,1,63877,99.825,1,27.2,41.0,43.3,1012.7,1.6,145.0,0.1860287804815541,0.20602160941783584
31,OCO,Alpine,2023,Japanese Grand Prix,Suzuka,12.0,10.0,1,1,2.0,11.0,63877,3,1,69684,100.552,0,13.65,20.5,21.7,506.35,0.6,48.5,0.2046316585297095,0.22475084663763908
31,OCO,Alpine,2023,Japanese Grand Prix,Suzuka,13.0,10.0,1,1,2.0,12.0,69684,3,1,75491,107.894,0,13.7,20.5,21.55,506.45,0.8,66.0,0.2232345365778649,0.24348008385744235
31,OCO,Alpine,2023,Japanese Grand Prix,Suzuka,14.0,10.0,1,1,2.0,13.0,75491,3,1,81298,111.462,0,13.65,20.0,21.5,506.35,0.4,42.5,0.24183741462602032,0.2622093210772456
31,OCO,Alpine,2023,Japanese Grand Prix,Suzuka,15.0,9.0,1,1,2.0,14.0,81298,3,1,87105,99.631,1,27.2,40.0,43.0,1012.7,1.6,87.0,0.26044029267417573,0.2809385582970489
31,OCO,Alpine,2023,Japanese Grand Prix,Suzuka,16.0,9.0,1,1,2.0,15.0,87105,3,1,92912,100.029,0,13.65,20.0,21.55,506.45,0.55,46.0,0.27904317072233115,0.29966779551685213
31,OCO,Alpine,2023,Japanese Grand Prix,Suzuka,17.0,8.0,1,1,2.0,16.0,92912,3,1,98719,99.924,0,13.65,20.5,21.6,506.45,1.0,48.0,0.29764604877048656,0.31839703273665537
31,OCO,Alpine,2023,Japanese Grand Prix,Suzuka,18.0,6.0,1,1,2.0,17.0,98719,3,1,104526,100.746,0,27.3,42.0,42.8,1012.9,1.0,128.0,0.316248926818642,0.3371262699564586
31,OCO,Alpine,2023,Japanese Grand Prix,Suzuka,19.0,6.0,1,1,2.0,18.0,104526,3,1,110333,100.621,0,13.65,21.5,21.25,506.45,0.4,99.5,0.3348518048667974,0.3558555071762619
31,OCO,Alpine,2023,Japanese Grand Prix,Suzuka,20.0,6.0,1,1,2.0,19.0,110333,3,1,116140,100.417,0,13.65,21.0,21.15,506.45,0.5,67.0,0.3534546829149528,0.37458474439606515
31,OCO,Alpine,2023,Japanese Grand Prix,Suzuka,21.0,7.0,1,1,2.0,20.0,116140,3,1,121947,100.916,0,27.3,43.0,42.7,1013.0,1.3,76.0,0.3720575609631082,0.3933139816158684
31,OCO,Alpine,2023,Japanese Grand Prix,Suzuka,22.0,8.0,1,1,2.0,21.0,121947,3,1,127754,100.942,0,13.65,21.0,20.35,506.45,0.5,72.5,0.39066043901126357,0.4120432188356717
31,OCO,Alpine,2023,Japanese Grand Prix,Suzuka,23.0,8.0,1,1,2.0,22.0,127754,3,1,133561,100.263,0,13.7,19.5,20.2,506.45,0.65,41.5,0.409263317059419,0.43077245605547493
31,OCO,Alpine,2023,Japanese Grand Prix,Suzuka,24.0,8.0,1,1,2.0,23.0,133561,3,1,139368,100.477,0,13.75,19.5,19.8,506.5,0.55,11.0,0.4278661951075744,0.44950169327527817
31,OCO,Alpine,2023,Japanese Grand Prix,Suzuka,25.0,8.0,1,1,2.0,24.0,139368,3,1,145175,101.252,0,27.4,39.0,39.6,1012.9,1.0,3.0,0.4464690731557298,0.46823093049508147
